	shannon	eveness	observed_otus	PD_faith
H11	2.251687423	0.395002409	52	7.939785605
H12	2.213479959	0.415916923	40	7.826927628
H13	1.935768114	0.402668025	28	6.131321064
H21	2.561048429	0.461068946	47	5.669994434
H22	3.025915335	0.533442955	51	6.162146401
H23	2.838954676	0.578564902	30	3.309522238
H31	2.747309874	0.479634781	53	4.665611171
H32	2.193526607	0.447029858	30	5.725002992
H33	2.205557103	0.48104147	24	2.878083824
H41	4.071674999	0.681191955	63	4.570961043
H42	3.089765393	0.562608893	45	6.725440906
H43	3.191915228	0.588234333	43	7.287472223
