	axis1	axis2	axis3	axis4	axis5	axis6	axis7	axis8	axis9	axis10	axis11	axis12
H11	0.640344562	-0.033831703	0.04812403	0.042209693	-0.076697663	-0.009453336	0.099478815	-0.006063285	0.008981391	0	0	0
H12	0.65525877	-0.030039982	0.021549374	0.016765601	-0.052813542	-0.029279206	-0.042777766	0.030837257	-0.018013951	0	0	0
H13	0.631072057	-0.056449203	-0.048291771	-0.067578517	0.12905187	0.030809362	-0.058402916	-0.024955092	0.009074642	0	0	0
H21	-0.214287963	-0.359181911	-0.253729839	-0.056965509	0.096174052	0.028930974	0.075751376	0.007714757	-0.008363397	0	0	0
H22	-0.236390924	-0.284310488	-0.147400691	-0.196158412	-0.081634862	-0.026494541	-0.049697147	-0.010941838	0.011498978	0	0	0
H23	-0.254532903	-0.018043116	0.180419311	-0.297660208	-0.03866139	-0.000281878	0.013304936	0.013778634	-0.007000521	0	0	0
H31	-0.141063332	0.478262491	-0.125429032	0.060519771	-0.062599349	0.160518375	-0.0125524	-6.67E-05	0.00088543	0	0	0
H32	-0.181186986	0.495662972	-0.039369015	0.023124586	0.039714192	-0.074369365	0.002844171	0.003167255	-0.04813616	0	0	0
H33	-0.176322491	0.498611686	-0.060211641	0.03080165	0.024679092	-0.092249369	0.00695508	-0.003691539	0.047161071	0	0	0
H41	-0.217597226	-0.031684599	0.399986166	0.024742392	0.064777406	0.045093543	0.005743588	-0.011346961	0.005571988	0	0	0
H42	-0.253623004	-0.331432095	0.016385425	0.212783875	0.003313505	-0.007226056	-0.024771249	0.083279324	0.008348678	0	0	0
H43	-0.251670561	-0.327564051	0.007967682	0.207415077	-0.045303312	-0.025998505	-0.015876488	-0.081711779	-0.010008149	0	0	0
