"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11"
"S11",0.26873,-0.34401,0.13053,0.28738,0.06471,0.074338,-0.039015,-0.025079,0.0077757,-0.029859,0.00018847
"S12",0.056224,-0.58383,-0.11745,-0.057382,-0.002084,-0.013562,0.022968,0.0487,0.024829,0.051314,-0.021777
"S13",-0.10783,-0.55244,-0.032048,-0.20069,-0.090008,-0.052993,-0.0026339,-0.049131,-0.025973,-0.041386,0.014639
"S21",-0.42679,0.10673,-0.25536,0.070996,0.13445,-0.055865,0.070926,-0.041352,0.046347,-0.023804,-0.032352
"S22",-0.44317,0.073578,-0.21199,0.069513,0.10465,-0.0035498,-0.011763,-0.0059841,0.019997,0.048311,0.04584
"S23",-0.45865,0.077652,-0.14621,0.063295,0.037829,0.03457,-0.073591,0.044391,-0.10042,-0.026659,0.0018802
"S31",-0.19763,0.088429,0.42653,0.04936,0.037383,-0.27307,-0.0065302,-0.011392,-0.0056557,0.0092521,-0.00079144
"S32",-0.39245,0.095872,0.17962,-0.014171,-0.17401,0.10237,0.058411,0.020069,-0.031085,0.054651,-0.0075421
"S33",-0.38361,0.091224,0.21623,0.024528,-0.10633,0.15128,-0.032462,0.028597,0.073177,-0.036733,-0.0057695
"K11",-0.017931,0.3054,-0.076898,-0.25705,-0.037822,-0.0043017,-0.00015666,-0.048389,0.0089347,-0.026837,-0.007625
"K12",0.36193,0.083966,0.12823,-0.18316,0.169,0.082283,-0.08622,-0.028839,0.022479,0.02826,0.018828
"K13",0.40444,0.085613,0.13558,-0.060275,0.18709,0.081033,0.11702,0.057626,-0.042155,-0.015729,-0.0088892
"K21",0.45949,0.13624,-0.075357,0.14287,-0.13604,0.025388,0.063875,-0.11561,-0.019422,0.0097225,0.019877
"K22",0.44426,0.18929,-0.14789,0.040473,-0.071928,-0.044239,-0.095999,0.0016672,-0.010514,0.025388,-0.04866
"K23",0.43297,0.14629,-0.15353,0.024311,-0.11688,-0.10368,0.015169,0.12473,0.031688,-0.025891,0.032152
