# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* APNAJNJK_00001      K02313  124.17  609.9  1.6e-183 chromosomal replication initiator protein
* APNAJNJK_00002      K02338   51.93  387.4  3.9e-116 DNA polymerase III subunit beta [EC:2.7.7.7]
* APNAJNJK_00003      K02470  946.83 1027.5         0 DNA gyrase subunit B [EC:5.6.2.2]
* APNAJNJK_00004      K07552  309.93  346.9  5.5e-104 MFS transporter, DHA1 family, multidrug resistance protein
* APNAJNJK_00008      K08217  217.57  222.6   2.6e-66 MFS transporter, DHA3 family, macrolide efflux protein
* APNAJNJK_00009      K06911   93.27  136.8   4.2e-40 quercetin 2,3-dioxygenase [EC:1.13.11.24]
* APNAJNJK_00012      K18305  117.70  119.4   3.7e-35 transmembrane protein
* APNAJNJK_00014      K10001  242.20  393.3  3.1e-118 glutamate/aspartate transport system substrate-binding protein
* APNAJNJK_00014      K02030   87.10  103.1   5.2e-30 polar amino acid transport system substrate-binding protein
* APNAJNJK_00015      K10003  258.77  363.6  1.3e-109 glutamate/aspartate transport system permease protein
* APNAJNJK_00015      K02029  212.03  226.4   1.9e-67 polar amino acid transport system permease protein
* APNAJNJK_00016      K10002  239.87  339.1  3.7e-102 glutamate/aspartate transport system permease protein
* APNAJNJK_00016      K02029  212.03  244.1   8.4e-73 polar amino acid transport system permease protein
* APNAJNJK_00017      K10004  413.10  442.8  6.7e-134 glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1]
* APNAJNJK_00017      K02028  376.33  429.3    7e-129 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* APNAJNJK_00018      K01620   97.67  391.3  2.3e-117 threonine aldolase [EC:4.1.2.48]
* APNAJNJK_00019      K15268  159.57  371.8    1e-111 O-acetylserine/cysteine efflux transporter
* APNAJNJK_00020      K01512   74.67  104.3   3.5e-30 acylphosphatase [EC:3.6.1.7]
* APNAJNJK_00022      K00101  459.97  506.0  6.2e-152 L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
* APNAJNJK_00024      K02052  498.67  506.8  3.8e-152 putative spermidine/putrescine transport system ATP-binding protein
* APNAJNJK_00024      K02010  456.90  458.2  1.5e-137 iron(III) transport system ATP-binding protein [EC:7.2.2.7]
* APNAJNJK_00026      K02053  244.87  258.7   2.6e-77 putative spermidine/putrescine transport system permease protein
* APNAJNJK_00031      K12972  244.93  379.2  4.6e-114 glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
* APNAJNJK_00032      K13652  198.10  301.0   5.6e-90 AraC family transcriptional regulator
* APNAJNJK_00034      K07795   99.77  329.7   1.1e-98 putative tricarboxylic transport membrane protein
* APNAJNJK_00035      K01473  647.17  932.6  9.4e-281 N-methylhydantoinase A [EC:3.5.2.14]
* APNAJNJK_00036      K01474  594.50  681.5  5.7e-205 N-methylhydantoinase B [EC:3.5.2.14]
* APNAJNJK_00037      K03710  167.27  171.6   1.2e-50 GntR family transcriptional regulator
* APNAJNJK_00038      K02055  201.10  223.6   2.3e-66 putative spermidine/putrescine transport system substrate-binding protein
* APNAJNJK_00039      K02052  498.67  510.7  2.6e-153 putative spermidine/putrescine transport system ATP-binding protein
* APNAJNJK_00039      K02010  456.90  464.6  1.7e-139 iron(III) transport system ATP-binding protein [EC:7.2.2.7]
* APNAJNJK_00041      K02053  244.87  272.0   2.4e-81 putative spermidine/putrescine transport system permease protein
* APNAJNJK_00043      K22550   93.67  105.6   4.1e-31 D-hydroxyproline dehydrogenase subunit gamma
* APNAJNJK_00044      K24954  654.70  699.9  4.5e-211 octopine oxidase subunit A
