# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* AKMGFOCH_00002      K06016  471.57  479.2  5.8e-144 beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
* AKMGFOCH_00003      K03327  115.10  294.4   6.5e-88 multidrug resistance protein, MATE family
* AKMGFOCH_00004      K13766  265.97  364.3  1.3e-109 methylglutaconyl-CoA hydratase [EC:4.2.1.18]
* AKMGFOCH_00004      K01692  227.13  254.0   1.2e-75 enoyl-CoA hydratase [EC:4.2.1.17]
* AKMGFOCH_00005      K13774  353.47  439.1    2e-132 citronellol/citronellal dehydrogenase
* AKMGFOCH_00006      K13770  127.03  147.4   1.9e-43 TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein
* AKMGFOCH_00008      K01596  319.13 1023.2         0 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
* AKMGFOCH_00012      K07795   99.77  242.6   3.1e-72 putative tricarboxylic transport membrane protein
* AKMGFOCH_00020      K04033  138.77  151.0   2.2e-44 AraC family transcriptional regulator, ethanolamine operon transcriptional activator
* AKMGFOCH_00021      K07726   43.90   66.0   1.4e-18 putative transcriptional regulator
* AKMGFOCH_00024      K07795   99.77  347.0  6.8e-104 putative tricarboxylic transport membrane protein
* AKMGFOCH_00026      K10218  168.60  217.6     9e-65 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]
* AKMGFOCH_00029      K07280   49.97  509.4  3.8e-153 outer membrane protein
* AKMGFOCH_00031      K16088  500.73  636.1  3.6e-191 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
* AKMGFOCH_00031      K02014  162.10  249.8   2.6e-74 iron complex outermembrane recepter protein
* AKMGFOCH_00032      K07165   43.50  185.5   7.7e-55 transmembrane sensor
* AKMGFOCH_00033      K23514  168.77  202.1     2e-60 RNA polymerase sigma-19 factor, ECF subfamily
* AKMGFOCH_00033      K03088   59.37   97.2   4.7e-28 RNA polymerase sigma-70 factor, ECF subfamily
