>contig_1
1	1918	-	2	1.140492	I:642,	D:289,
1945	3339	-	1	1.116062	I:	D:
3461	4252	-	2	1.121158	I:	D:
4392	4998	+	3	1.115621	I:4990,	D:
5042	5182	-	2	1.200340	I:	D:
5267	5992	-	2	1.146099	I:	D:
6098	7720	+	2	1.132776	I:	D:
7894	9750	+	1	1.151681	I:	D:
9880	10509	+	1	1.173922	I:	D:
10560	11459	-	3	1.250985	I:	D:
11560	12891	+	1	1.260518	I:	D:
12931	13896	+	1	1.166505	I:	D:
14137	14925	+	1	1.117235	I:	D:
14993	16743	+	2	1.138676	I:	D:16221,
16783	19355	+	1	1.148510	I:	D:18452,
19487	19861	+	2	1.233923	I:	D:
19899	20297	+	3	1.197609	I:	D:
20391	21558	-	3	1.188164	I:21476,	D:
21690	22269	-	3	1.312618	I:21997,	D:
22645	23640	+	1	1.193519	I:	D:
23645	24634	-	2	1.203507	I:	D:
24712	26420	-	1	1.184119	I:	D:25756,
26551	27450	-	1	1.226805	I:	D:
27618	28775	+	3	1.186225	I:	D:
28786	30306	-	1	1.204407	I:	D:
30493	31383	-	1	1.219475	I:	D:
31624	34410	-	1	1.251898	I:	D:
34623	35618	-	3	1.192200	I:	D:
35634	36155	-	3	1.188512	I:	D:
36547	36702	+	1	1.345315	I:	D:
37021	37683	-	1	1.347212	I:	D:
37796	39085	-	2	1.268775	I:	D:
39185	40114	+	2	1.262535	I:	D:
40263	41135	-	3	1.183926	I:	D:
41276	41824	+	2	1.200311	I:	D:
41952	42719	+	3	1.203816	I:	D:
42733	43767	+	1	1.108114	I:	D:
43799	46990	+	2	1.142141	I:	D:
47050	49462	-	1	1.135226	I:48893,48947,	D:48392,
49464	52859	-	3	1.125199	I:	D:51481,51933,52108,
52872	54838	-	3	1.129948	I:53536,54226,	D:
54855	55331	-	3	1.209357	I:	D:
55348	58326	-	1	1.203339	I:57837,	D:58176,
58935	60781	-	3	1.154905	I:	D:59792,
60951	61832	+	3	1.112886	I:	D:
61861	62544	-	1	1.137777	I:	D:
62563	64338	-	1	1.123352	I:	D:
64559	65554	+	2	1.119164	I:	D:
65868	67865	+	3	1.144424	I:	D:
67887	68672	-	3	1.145764	I:	D:
69207	71306	+	3	1.155626	I:	D:
71473	72133	+	1	1.241477	I:71793,	D:
72149	73132	-	2	1.148748	I:	D:
73292	74236	-	2	1.128166	I:	D:
74311	76295	-	1	1.136581	I:	D:75463,
76415	77113	-	2	1.204010	I:	D:
77166	77909	-	3	1.105837	I:	D:
78035	78955	+	2	1.142538	I:	D:
78966	80328	-	3	1.136743	I:78974,	D:
80446	82605	-	1	1.164579	I:	D:
82744	83502	+	1	1.174701	I:	D:
83519	84328	-	2	1.150244	I:	D:
84377	85419	-	2	1.143452	I:	D:84826,
85501	86697	+	1	1.123372	I:	D:
86841	87716	+	3	1.120893	I:	D:
87880	88665	+	1	1.149540	I:	D:
88709	90644	+	2	1.132116	I:90035,	D:
90775	92061	-	1	1.143428	I:	D:
92229	94591	-	3	1.150922	I:	D:92990,
94596	95630	-	3	1.123090	I:	D:
95789	96793	+	2	1.118853	I:	D:
96808	97512	+	1	1.110015	I:	D:
97561	97947	-	1	1.170735	I:	D:
98039	99010	-	2	1.149656	I:	D:
99023	99709	+	2	1.184816	I:	D:
99743	100133	-	2	1.155288	I:99749,	D:
100281	100910	+	3	1.116153	I:	D:
101002	103107	-	1	1.159230	I:102886,102980,103074,	D:
103295	106173	-	2	1.128869	I:	D:105190,
106484	107260	+	2	1.119465	I:	D:
107305	110144	+	1	1.152038	I:	D:108474,
110213	110977	+	2	1.131889	I:	D:
111177	111599	+	3	1.107699	I:	D:
111602	111994	+	2	1.182476	I:	D:
112069	112413	+	1	1.137949	I:	D:
112513	113362	-	1	1.148251	I:112521,	D:
113513	116104	+	2	1.167613	I:	D:
116197	119684	-	1	1.108757	I:	D:116201,
119778	120743	+	3	1.144019	I:	D:
120967	122154	+	1	1.134692	I:	D:
122193	123206	-	3	1.155562	I:	D:
123228	124028	-	3	1.154372	I:	D:
124324	125268	-	1	1.129758	I:	D:
125449	126642	+	1	1.107279	I:	D:
126667	127909	-	1	1.104279	I:126723,	D:
128026	128745	-	1	1.192102	I:	D:
128988	130553	+	3	1.152729	I:	D:
130587	131504	-	3	1.149775	I:	D:
131587	139306	+	1	1.132735	I:132705,	D:132986,134381,135512,136456,137321,138322,
139352	139735	-	2	1.181021	I:	D:
140104	140910	+	1	1.135476	I:	D:
140987	142027	-	2	1.149626	I:	D:
142216	144893	+	1	1.121199	I:	D:143495,
144902	146293	-	2	1.139997	I:	D:
146477	148308	+	2	1.159908	I:147152,	D:148202,148304,
148411	149094	-	1	1.149894	I:	D:
149320	150144	+	1	1.209893	I:	D:
150458	151255	-	2	1.170121	I:	D:
151453	151903	+	1	1.246700	I:151860,	D:
151907	152566	+	2	1.291400	I:	D:
152593	153369	-	1	1.124594	I:	D:
153476	154279	-	2	1.147693	I:	D:
154515	156042	+	3	1.118454	I:154547,	D:
156153	156857	+	3	1.185033	I:	D:
156944	158437	-	2	1.131211	I:	D:
158456	159842	-	2	1.149864	I:159757,	D:
160011	160925	+	3	1.134865	I:	D:
