locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKMGFOCH_00001	CDS	336				hypothetical protein
AKMGFOCH_00002	CDS	1284	amaB_1	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
AKMGFOCH_00003	CDS	1395	mdtK		COG0534	Multidrug resistance protein MdtK
AKMGFOCH_00004	CDS	792	menB_1	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
AKMGFOCH_00005	CDS	912	fadH_1	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
AKMGFOCH_00006	CDS	726				hypothetical protein
AKMGFOCH_00007	CDS	1623	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
AKMGFOCH_00008	CDS	1857	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
AKMGFOCH_00009	CDS	630	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
AKMGFOCH_00010	CDS	900	cynR_1			HTH-type transcriptional regulator CynR
AKMGFOCH_00011	CDS	1332		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
AKMGFOCH_00012	CDS	966				hypothetical protein
AKMGFOCH_00013	CDS	789	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
AKMGFOCH_00014	CDS	1242	styA	1.14.14.11		Styrene monooxygenase StyA
AKMGFOCH_00015	CDS	510	ntaB	1.5.1.42		FMN reductase (NADH) NtaB
AKMGFOCH_00016	CDS	1629	carA2	1.3.99.29	COG1233	zeta-carotene-forming phytoene desaturase
AKMGFOCH_00017	CDS	894				hypothetical protein
AKMGFOCH_00018	CDS	375				hypothetical protein
AKMGFOCH_00019	CDS	423				hypothetical protein
AKMGFOCH_00020	CDS	1068	feaR		COG2207	Transcriptional activator FeaR
AKMGFOCH_00021	CDS	303				hypothetical protein
AKMGFOCH_00022	CDS	384				hypothetical protein
AKMGFOCH_00023	CDS	996	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
AKMGFOCH_00024	CDS	990				hypothetical protein
AKMGFOCH_00025	CDS	1044	ghrB_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
AKMGFOCH_00026	CDS	669	ligK_1	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipate aldolase
AKMGFOCH_00027	CDS	900	gltR_1		COG0583	HTH-type transcriptional regulator GltR
AKMGFOCH_00028	CDS	1158	mdlB_1	1.1.99.31		(S)-mandelate dehydrogenase
AKMGFOCH_00029	CDS	1521				TPR repeat-containing protein
AKMGFOCH_00030	CDS	891				hypothetical protein
AKMGFOCH_00031	CDS	2787	pupB_1			Ferric-pseudobactin BN7/BN8 receptor
AKMGFOCH_00032	CDS	996	fecR_1		COG3712	Protein FecR
AKMGFOCH_00033	CDS	522	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
AKMGFOCH_00034	CDS	153				hypothetical protein
AKMGFOCH_00035	CDS	666				hypothetical protein
AKMGFOCH_00036	CDS	1290				hypothetical protein
AKMGFOCH_00037	CDS	930	argP_1			HTH-type transcriptional regulator ArgP
AKMGFOCH_00038	CDS	864				hypothetical protein
AKMGFOCH_00039	CDS	549				hypothetical protein
AKMGFOCH_00040	CDS	768	ttrB		COG0437	Tetrathionate reductase subunit B
AKMGFOCH_00041	CDS	1035	ttrC			Tetrathionate reductase subunit C
AKMGFOCH_00042	CDS	3186	ttrA	1.8.-.-	COG0243	Tetrathionate reductase subunit A
AKMGFOCH_00043	CDS	1338				hypothetical protein
AKMGFOCH_00044	CDS	561				hypothetical protein
AKMGFOCH_00045	CDS	522	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
AKMGFOCH_00046	CDS	2016	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
AKMGFOCH_00047	CDS	456	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
AKMGFOCH_00048	CDS	162				hypothetical protein
AKMGFOCH_00049	CDS	774	ccmC		COG0755	Heme exporter protein C
AKMGFOCH_00050	CDS	666	ccmB		COG2386	Heme exporter protein B
AKMGFOCH_00051	CDS	717	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AKMGFOCH_00052	CDS	633	napC			Cytochrome c-type protein NapC
AKMGFOCH_00053	CDS	477	napB			Periplasmic nitrate reductase, electron transfer subunit
AKMGFOCH_00054	CDS	2496	napA_1	1.9.6.1		Periplasmic nitrate reductase
AKMGFOCH_00055	CDS	342	napD			Chaperone NapD
AKMGFOCH_00056	CDS	159				hypothetical protein
AKMGFOCH_00057	CDS	855	kce_1	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
AKMGFOCH_00058	CDS	963	paaH_1	1.1.1.-	COG1250	3-hydroxyadipyl-CoA dehydrogenase
AKMGFOCH_00059	CDS	900	gltC_1			HTH-type transcriptional regulator GltC
AKMGFOCH_00060	CDS	684				hypothetical protein
AKMGFOCH_00061	CDS	1776	araC_1	4.2.1.25		L-arabonate dehydratase
AKMGFOCH_00062	CDS	996				hypothetical protein
AKMGFOCH_00063	CDS	1998	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
AKMGFOCH_00064	CDS	792	fadB_1	5.3.3.8		Fatty acid oxidation complex subunit alpha
AKMGFOCH_00065	CDS	2100	cntO_1			Metal-pseudopaline receptor CntO
AKMGFOCH_00066	CDS	360				hypothetical protein
AKMGFOCH_00067	CDS	321				hypothetical protein
AKMGFOCH_00068	CDS	984				hypothetical protein
AKMGFOCH_00069	CDS	945				hypothetical protein
AKMGFOCH_00070	CDS	1152	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
AKMGFOCH_00071	CDS	837		4.2.1.150	COG1024	Crotonyl-CoA hydratase
AKMGFOCH_00072	CDS	699				hypothetical protein
AKMGFOCH_00073	CDS	744	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AKMGFOCH_00074	CDS	921	pgrR_1			HTH-type transcriptional regulator PgrR
AKMGFOCH_00075	CDS	1395				hypothetical protein
AKMGFOCH_00076	CDS	2160	fptA_1		COG4773	Fe(3+)-pyochelin receptor
AKMGFOCH_00077	CDS	759	nimR_1			HTH-type transcriptional regulator NimR
AKMGFOCH_00078	CDS	810				hypothetical protein
AKMGFOCH_00079	CDS	447	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
AKMGFOCH_00080	CDS	600	tetR			Tetracycline repressor protein class A from transposon 1721
AKMGFOCH_00081	CDS	1197	tetA_1			Tetracycline resistance protein, class C
AKMGFOCH_00082	CDS	876	cynR_2			HTH-type transcriptional regulator CynR
