Entry	Feature	Location	Qualifier	Value
COMMON	DBLINK		project	PRJDB15726
			biosample	SAMD00597894
			sequence read archive	DRR461099
	SUBMITTER		contact	Hajime Kobayashi
			ab_name	"Feng,X."
			ab_name	"Kobayashi,H."
			email	kobayashi@frcer.t.u-tokyo.ac.jp
			phone	81-3-5841-7054
			institute	The University of Tokyo
			country	Japan
			state	Tokyo
			city	Bunkyo
			street	Hongo 7-3-1
			zip	113-8656
	REFERENCE		ab_name	"Feng,X."
			ab_name	"Kazama,D."
			ab_name	"Sato,K."
			ab_name	"Kobayashi,H."
			title	First report of an autotrophic metabolism in Achromobacter xylosoxidans, a new strain H1_3_1 isolated from a hybrid biological inorganic reactor
			status	Unpublished
			year	2023
	COMMENT		line	Annotated using prokka 1.14.6 from https://github.com/tseemann/prokka.
	ST_COMMENT		tagset_id	Genome-Assembly-Data
			Assembly Method	Flye v. 2.9
			Assembly Name	contig
			Genome Coverage	26x
			Sequencing Technology	Sequel IIe
	TOPOLOGY		circular
	DATE		hold_date	20240418	
contig	source	1..7071873	collection_date	2022-09-06
			country	"Japan:Tokyo, Bunkyo, the University of Tokyo"
			isolation_source	The liquid medium of a hybrid biological-inorganic system reactor
			mol_type	genomic DNA
			organism	Achromobacter xylosoxidans
			strain	H1_3_1
				
	CDS	complement(283..618)	locus_tag	HBIAX_00001
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(635..1918)	gene	amaB_1
			locus_tag	HBIAX_00002
			EC_number	3.5.1.87
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q53389
			codon_start	1
			transl_table	11
			product	N-carbamoyl-L-amino acid hydrolase
				
	CDS	complement(1945..3339)	gene	mdtK
			locus_tag	HBIAX_00003
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P37340
			codon_start	1
			transl_table	11
			product	Multidrug resistance protein MdtK
				
	CDS	complement(3461..4252)	gene	menB_1
			locus_tag	HBIAX_00004
			EC_number	4.1.3.36
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ABU0
			codon_start	1
			transl_table	11
			product	"1,4-dihydroxy-2-naphthoyl-CoA synthase"
				
	CDS	4392..5303	gene	fadH_1
			locus_tag	HBIAX_00005
			EC_number	1.3.1.34
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O34717
			codon_start	1
			transl_table	11
			product	"putative 2,4-dienoyl-CoA reductase"
				
	CDS	complement(5267..5992)	locus_tag	HBIAX_00006
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	6098..7720	gene	acsA_1
			locus_tag	HBIAX_00007
			EC_number	6.2.1.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P39062
			codon_start	1
			transl_table	11
			product	Acetyl-coenzyme A synthetase
				
	CDS	7894..9750	gene	pckG
			locus_tag	HBIAX_00008
			EC_number	4.1.1.32
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:A0QP32
			codon_start	1
			transl_table	11
			product	Phosphoenolpyruvate carboxykinase [GTP]
				
	CDS	9880..10509	gene	tam_1
			locus_tag	HBIAX_00009
			EC_number	2.1.1.144
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_00560
			codon_start	1
			transl_table	11
			product	Trans-aconitate 2-methyltransferase
				
	CDS	complement(10560..11459)	gene	cynR_1
			locus_tag	HBIAX_00010
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P27111
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator CynR
				
	CDS	11560..12891	locus_tag	HBIAX_00011
			EC_number	3.1.6.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q8A2H2
			codon_start	1
			transl_table	11
			product	N-acetylgalactosamine-6-O-sulfatase
				
	CDS	12931..13896	locus_tag	HBIAX_00012
