locus_tag	ftype	length_bp	gene	EC_number	COG	product
APNAJNJK_00001	CDS	1461	dnaA		COG0593	Chromosomal replication initiator protein DnaA
APNAJNJK_00002	CDS	1110	dnaN		COG0592	Beta sliding clamp
APNAJNJK_00003	CDS	2448	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
APNAJNJK_00004	CDS	1173	ydhC			Inner membrane transport protein YdhC
APNAJNJK_00005	CDS	897	dmlR_1			HTH-type transcriptional regulator DmlR
APNAJNJK_00006	CDS	924	dmlR_2			HTH-type transcriptional regulator DmlR
APNAJNJK_00007	CDS	687				hypothetical protein
APNAJNJK_00008	CDS	1593	entS_1			Enterobactin exporter EntS
APNAJNJK_00009	CDS	705	yhhW_1	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
APNAJNJK_00010	CDS	261				hypothetical protein
APNAJNJK_00011	CDS	1893	nfdA_1	3.5.1.91		N-substituted formamide deformylase
APNAJNJK_00012	CDS	456				hypothetical protein
APNAJNJK_00013	CDS	933	occR_1			Octopine catabolism/uptake operon regulatory protein OccR
APNAJNJK_00014	CDS	909	gltI		COG0834	Glutamate/aspartate import solute-binding protein
APNAJNJK_00015	CDS	753	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
APNAJNJK_00016	CDS	690	gltK		COG0765	Glutamate/aspartate import permease protein GltK
APNAJNJK_00017	CDS	759	glnQ_1			Glutamine transport ATP-binding protein GlnQ
APNAJNJK_00018	CDS	1059	ltaA	4.1.2.49		L-allo-threonine aldolase
APNAJNJK_00019	CDS	906	eamA_1		COG0697	putative amino-acid metabolite efflux pump
APNAJNJK_00020	CDS	285	acyP	3.6.1.7	COG1254	Acylphosphatase
APNAJNJK_00021	CDS	897				hypothetical protein
APNAJNJK_00022	CDS	1164	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
APNAJNJK_00023	CDS	843	kdgR_1			Pectin degradation repressor protein KdgR
APNAJNJK_00024	CDS	1071	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
APNAJNJK_00025	CDS	888	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
APNAJNJK_00026	CDS	795				hypothetical protein
APNAJNJK_00027	CDS	330				hypothetical protein
APNAJNJK_00028	CDS	1380	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
APNAJNJK_00029	CDS	1173	abo	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
APNAJNJK_00030	CDS	1068				hypothetical protein
APNAJNJK_00031	CDS	939	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
APNAJNJK_00032	CDS	834	sbmC			DNA gyrase inhibitor
APNAJNJK_00033	CDS	897	pcpR_1			PCP degradation transcriptional activation protein
APNAJNJK_00034	CDS	981				hypothetical protein
APNAJNJK_00035	CDS	2058	apc3	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
APNAJNJK_00036	CDS	1731				hypothetical protein
APNAJNJK_00037	CDS	798				hypothetical protein
APNAJNJK_00038	CDS	1032				hypothetical protein
APNAJNJK_00039	CDS	1056	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
APNAJNJK_00040	CDS	867	potB_2		COG1176	Spermidine/putrescine transport system permease protein PotB
APNAJNJK_00041	CDS	801	ydcV_1			Inner membrane ABC transporter permease protein YdcV
APNAJNJK_00042	CDS	1158	hcnC_1	1.4.99.5	COG0665	Hydrogen cyanide synthase subunit HcnC
APNAJNJK_00043	CDS	309				hypothetical protein
APNAJNJK_00044	CDS	1446	hcnB_2	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
APNAJNJK_00045	CDS	1164	hcnC_2	1.4.99.5		Hydrogen cyanide synthase subunit HcnC
APNAJNJK_00046	CDS	387				hypothetical protein
APNAJNJK_00047	CDS	1281	codA	3.5.4.1	COG0402	Cytosine deaminase
APNAJNJK_00048	CDS	951				hypothetical protein
APNAJNJK_00049	CDS	1074				hypothetical protein
APNAJNJK_00050	CDS	1530	fruK	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
APNAJNJK_00051	CDS	1032				Purine-binding protein
APNAJNJK_00052	CDS	915				hypothetical protein
APNAJNJK_00053	CDS	927				hypothetical protein
APNAJNJK_00054	CDS	612				hypothetical protein
APNAJNJK_00055	CDS	453				hypothetical protein
APNAJNJK_00056	CDS	570				hypothetical protein
APNAJNJK_00057	CDS	498				hypothetical protein
APNAJNJK_00058	CDS	678	slmA_1			Nucleoid occlusion factor SlmA
APNAJNJK_00059	CDS	1209	yfcJ_1			putative MFS-type transporter YfcJ
APNAJNJK_00060	CDS	720	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
APNAJNJK_00061	CDS	528				hypothetical protein
APNAJNJK_00062	CDS	921				hypothetical protein
APNAJNJK_00063	CDS	471	lrp_1		COG1522	Leucine-responsive regulatory protein
APNAJNJK_00064	CDS	1821	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
APNAJNJK_00065	CDS	783	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
APNAJNJK_00066	CDS	855				hypothetical protein
APNAJNJK_00067	CDS	771	nrtC	7.3.2.4	COG0715	Nitrate import ATP-binding protein NrtC
APNAJNJK_00068	CDS	1059				hypothetical protein
APNAJNJK_00069	CDS	2628	topB_1	5.6.2.1		DNA topoisomerase 3
APNAJNJK_00070	CDS	2658				hypothetical protein
APNAJNJK_00071	CDS	882	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
APNAJNJK_00072	CDS	459	smg			Protein Smg
APNAJNJK_00073	CDS	2025				hypothetical protein
APNAJNJK_00074	CDS	963				hypothetical protein
APNAJNJK_00075	CDS	1140		4.1.2.42		D-threonine aldolase
APNAJNJK_00076	CDS	1392				hypothetical protein
APNAJNJK_00077	CDS	738	glnQ_2			Glutamine transport ATP-binding protein GlnQ
APNAJNJK_00078	CDS	657	yecS_1		COG0765	L-cystine transport system permease protein YecS
APNAJNJK_00079	CDS	669	glnP_1		COG0765	Glutamine transport system permease protein GlnP
APNAJNJK_00080	CDS	783	fliY_1		COG0834	L-cystine-binding protein FliY
APNAJNJK_00081	CDS	330				hypothetical protein
APNAJNJK_00082	CDS	966				hypothetical protein
APNAJNJK_00083	CDS	1194	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
APNAJNJK_00084	CDS	1290				hypothetical protein
APNAJNJK_00085	CDS	333				hypothetical protein
APNAJNJK_00086	CDS	957	rhaS_1			HTH-type transcriptional activator RhaS
APNAJNJK_00087	CDS	258				hypothetical protein
APNAJNJK_00088	CDS	429				hypothetical protein
APNAJNJK_00089	CDS	426				hypothetical protein
APNAJNJK_00090	CDS	339				hypothetical protein
APNAJNJK_00091	CDS	387				hypothetical protein
APNAJNJK_00092	CDS	702				hypothetical protein
